id,name,grade,semester,prev
0,Orientation,0,0,0
1,Algorithm 1,1,1,0
2,Algorithm 2,1,2,1
3,Computer Network 1,1,1,0
4,Computer Network 2,1,2,3
5,Computer System 1,1,1,0
6,Computer System 2,1,2,5
7,Data Visualization,2,4,0
8,Database Design,1,2,0
9,Database Programming,3,5,9
10,Design Pattern,2,4,15
11,Human Interface,2,3,0
12,iOS App 1,2,3,15
13,iOS App 2,2,4,13
14,Java 1,1,1,0
15,Java 2,1,2,14
16,Java Application,2,3,15
17,Linux,2,3,0
18,Linux Server,2,4,17
19,Multimedia Programming,3,6,15
20,Network Programming,3,6,15
21,Object Oriented Design,2,3,15
22,Operating System,2,3,6
23,Oracle,3,5,8
24,PHP,1,2,31
25,Python 1,1,1,0
26,Python 2,1,2,25
27,Server Side Java,3,5,15
28,Software Test,2,4,15
29,System Development,1,2,0
30,UI/UX,2,4,11
31,Web Development,1,1,0
32,Web Programming,2,3,31
33,Windows Server,3,6,0
34,XML,2,3,0
